drug	disease.x	proximity.x	pval.x	similarity.x	adjusted_similarity.x	disease.y	proximity.y	pval.y	similarity.y	adjusted_similarity.y
terfenadine	Alzheimer Disease	0.857142857	0.046014821	0.78571428575	0.98715142410688	Alzheimer Disease	0.857142857	0.046014821	0.78571428575	0.98715142410688
teriparatide	Alzheimer Disease	0	0.009462018	1	0.999498689431439	Alzheimer Disease	0	0.009462018	1	0.999498689431439
tesamorelin	Alzheimer Disease	0	0.005392425	1	0.999498689431439	Alzheimer Disease	0	0.005392425	1	0.999498689431439
testolactone	Alzheimer Disease	0	0.027293082	1	0.916996180685167	Alzheimer Disease	0	0.027293082	1	0.916996180685167
testolactone	Alzheimer Disease	0	0.027293082	1	0.916996180685167	Memory Disorders	1	0.000947249	0.75	0.945098078077383
testosterone	Alzheimer Disease	0	0.003674786	1	0.999498689431439	Alzheimer Disease	0	0.003674786	1	0.999498689431439
testosterone cypionate	Alzheimer Disease	0	0.002948392	1	0.999498689431439	Alzheimer Disease	0	0.002948392	1	0.999498689431439
testosterone enanthate	Alzheimer Disease	0	0.005623217	1	0.999498689431439	Alzheimer Disease	0	0.005623217	1	0.999498689431439
testosterone undecanoate	Alzheimer Disease	0	0.008031494	1	0.999498689431439	Alzheimer Disease	0	0.008031494	1	0.999498689431439
tetryzoline	Alzheimer Disease	0	0.017035877	1	0.916996180685167	Alzheimer Disease	0	0.017035877	1	0.916996180685167
tetryzoline	Alzheimer Disease	0	0.017035877	1	0.916996180685167	Memory Disorders	1	0.01684862	0.75	0.945098078077383
thalidomide	Alzheimer Disease	0.428571429	0.004564635	0.89285714275	0.997451470293365	Alzheimer Disease	0.428571429	0.004564635	0.89285714275	0.997451470293365
thiamylal	Alzheimer Disease	0.666666667	0.045840207	0.83333333325	0.993726881956618	Alzheimer Disease	0.666666667	0.045840207	0.83333333325	0.993726881956618
thiethylperazine	Alzheimer Disease	0	1.97e-06	1	0.916996180685167	Alzheimer Disease	0	1.97e-06	1	0.916996180685167
thiethylperazine	Alzheimer Disease	0	1.97e-06	1	0.916996180685167	Language Disorders	0.666666667	1.34e-08	0.83333333325	0.980055283476762
thiopental	Alzheimer Disease	1	0.017829147	0.75	0.475573630947114	Alzheimer Disease	1	0.017829147	0.75	0.475573630947114
thiopental	Alzheimer Disease	1	0.017829147	0.75	0.475573630947114	Memory Disorders	1.666666667	0.002441042	0.58333333325	0.628306219637768
thioridazine	Alzheimer Disease	0.333333333	6.69e-05	0.91666666675	0.827624363017613	Memory Disorders	1	3.77e-06	0.75	0.475573630947114
