disease	drug	proximity	pval	similarity	adjusted_similarity
Alzheimer Disease	chlormezanone	0	0.012428583	1	0.999498689431439
Alzheimer Disease	chloroquine	0	6.04e-05	1	0.999498689431439
Alzheimer Disease	chlorpheniramine	0.5	0.00501309	0.875	0.759915570510543
Alzheimer Disease	chlorpromazine	0.5	2.06e-08	0.875	0.759915570510543
Alzheimer Disease	chlorpropamide	0	0.011614785	1	0.999498689431439
Alzheimer Disease	chlorprothixene	0.5	1.82e-05	0.875	0.759915570510543
Alzheimer Disease	chlorthalidone	0.5	0.034943627	0.875	0.759915570510543
Alzheimer Disease	chlorzoxazone	0	0.005120837	1	0.916996180685167
Alzheimer Disease	cholecalciferol	0	0.013955718	1	0.999498689431439
Alzheimer Disease	choline	0.571428571	0.005960304	0.85714285725	0.995622925786853
Alzheimer Disease	choline magnesium trisalicylate	0	0.001764246	1	0.999498689431439
Alzheimer Disease	choline salicylate	0.571428571	0.0023808	0.85714285725	0.995622925786853
Alzheimer Disease	chondroitin sulfate	0.25	0.000158923	0.9375	0.855352842489066
Alzheimer Disease	choriogonadotropin alfa	0	0.000741191	1	0.999498689431439
Alzheimer Disease	chorionic gonadotropin (human)	0	0.003916139	1	0.916996180685167
Alzheimer Disease	cilazapril	0	0.028322859	1	0.916996180685167
Alzheimer Disease	cinacalcet	0	0.030117581	1	0.916996180685167
Alzheimer Disease	cinnarizine	0.6875	7.91e-05	0.828125	0.664511985785102
Alzheimer Disease	ciprofibrate	0	0.000370198	1	0.999498689431439
Alzheimer Disease	cisplatin	0.5	0.025702571	0.875	0.759915570510543
Alzheimer Disease	citalopram	0.5	0.032832641	0.875	0.759915570510543
Alzheimer Disease	citrulline	0.833333333	0.001833192	0.79166666675	0.57905209243383
Alzheimer Disease	clenbuterol	0	1.12e-05	1	0.916996180685167
Alzheimer Disease	clidinium	0	0.020207254	1	0.999498689431439
Alzheimer Disease	clofibrate	0	0.008929131	1	0.999498689431439
Alzheimer Disease	clomipramine	0.333333333	3.31e-05	0.91666666675	0.827624363017613
Alzheimer Disease	clonidine	0.5	0.001307523	0.875	0.996659662454039
Alzheimer Disease	clopidogrel	0	0.007138562	1	0.999498689431439
Alzheimer Disease	clotrimazole	0.5	0.048168153	0.875	0.996659662454039
Alzheimer Disease	clozapine	0.592592593	3.87e-08	0.85185185175	0.715191884521535
Alzheimer Disease	coagulation factor ix (recombinant)	0.428571429	3.97e-05	0.89285714275	0.790970967897522
Alzheimer Disease	coagulation factor ix human	0.428571429	0.000818802	0.89285714275	0.790970967897522
Alzheimer Disease	coagulation factor vii human	0.333333333	0.002665683	0.91666666675	0.827624363017613
Alzheimer Disease	coagulation factor viia recombinant human	0.5	0.002357022	0.875	0.759915570510543
Alzheimer Disease	cobimetinib	0	0.01684862	1	0.999498689431439
Alzheimer Disease	cocaine	0.666666667	0.005792389	0.83333333325	0.676022002084612
Alzheimer Disease	coccidioides immitis spherule	0.428571429	0.000153214	0.89285714275	0.997451470293365
Alzheimer Disease	conestat alfa	0.5	0.005903641	0.875	0.996659662454039
Alzheimer Disease	copper	0.713235294	1.12e-11	0.8216911765	0.650020302112954
Alzheimer Disease	corifollitropin alfa	0	0.003059102	1	0.999498689431439
Alzheimer Disease	corticorelin ovine triflutate	0	0.015166429	1	0.999498689431439
Alzheimer Disease	crizanlizumab	0	0.006016778	1	0.999498689431439
Alzheimer Disease	cromoglicic acid	0.5	0.015712763	0.875	0.996659662454039
Alzheimer Disease	cryptenamine	0.8	0.036905701	0.8	0.989632625584422
Alzheimer Disease	curcumin	0.4	0.006028955	0.9	0.802535407328769
Alzheimer Disease	cyanocobalamin	0	7.47e-07	1	0.999498689431439
Alzheimer Disease	cyclobenzaprine	0.333333333	3.63e-07	0.91666666675	0.827624363017613
Alzheimer Disease	cyclopentolate	0	0.010126235	1	0.999498689431439
Alzheimer Disease	cyclophosphamide	0	0.003525365	1	0.999498689431439
Alzheimer Disease	cycrimine	0	0.009997348	1	0.999498689431439
Alzheimer Disease	cyproheptadine	0.285714286	2.92e-05	0.9285714285	0.843951868427611
Alzheimer Disease	cysteamine	0	0.001526264	1	0.999498689431439
Alzheimer Disease	cysteine	0.692307692	0.000652011	0.826923077	0.993089517862493
Alzheimer Disease	dabigatran etexilate	0	0.019968885	1	0.999498689431439
Alzheimer Disease	dalteparin	0.25	0.000671728	0.9375	0.998705144399657
Alzheimer Disease	danaparoid	0	0.011836487	1	0.999498689431439
Alzheimer Disease	danazol	0.4	0.032768595	0.9	0.997713004352496
Alzheimer Disease	darifenacin	0.8	0.008432523	0.8	0.989632625584422
Alzheimer Disease	dasatinib	0.608695652	0.004152711	0.847826087	0.994960591826623
Alzheimer Disease	decamethonium	0.25	0.000116191	0.9375	0.998705144399657
Alzheimer Disease	demecarium	0	0.000352503	1	0.999498689431439
Alzheimer Disease	denosumab	0	0.004954394	1	0.999498689431439
Alzheimer Disease	deoxycholic acid	0.333333333	0.010474883	0.91666666675	0.998223773135608
Alzheimer Disease	desipramine	0.476190476	7.92e-07	0.880952381	0.770606764631831
Alzheimer Disease	desoxycorticosterone acetate	0	7.22e-06	1	0.999498689431439
Alzheimer Disease	desvenlafaxine	0.333333333	0.001306053	0.91666666675	0.827624363017613
Alzheimer Disease	dexamethasone	0.4	4.29e-05	0.9	0.802535407328769
Alzheimer Disease	dexfenfluramine	0	0.000382675	1	0.916996180685167
Alzheimer Disease	dexibuprofen	0.583333333	0.00057109	0.85416666675	0.995421355756168
Alzheimer Disease	dexketoprofen	0	0.001317948	1	0.999498689431439
Alzheimer Disease	dexmedetomidine	0	0.001482464	1	0.916996180685167
Alzheimer Disease	dexmethylphenidate	0.333333333	0.004286915	0.91666666675	0.827624363017613
Alzheimer Disease	dextroamphetamine	0.6	0.019535189	0.85	0.711404818907248
