TTD_association	drug	proximity	pval	similarity	adjusted_similarity
Hyperglyceridemia 	icosapent	0.454545455	6.09e-05	0.88636363625	0.997187918776537
Thrombin deficiency 	icosapent	0.454545455	6.09e-05	0.88636363625	0.997187918776537
Hypertriglyceridemia 	icosapent	0.454545455	6.09e-05	0.88636363625	0.997187918776537
Solid tumour/cancer 	ifosfamide	0	0.006830513	1	0.999498689431439
Schizophrenia 	iloperidone	0.272727273	1.05e-08	0.93181818175	0.848180158816482
Pulmonary arterial hypertension 	iloprost	0.75	0.048672013	0.8125	0.628833714233804
Chronic myelogenous leukaemia 	imatinib	0.375	0.003494701	0.90625	0.812253019594901
Systemic mastocytosis 	imatinib	0.375	0.003494701	0.90625	0.812253019594901
Lung cancer 	imatinib	0.375	0.003494701	0.90625	0.812253019594901
Intestinal cancer 	imatinib	0.375	0.003494701	0.90625	0.812253019594901
Depression 	imipramine	0.56	1.63e-08	0.86	0.731494181998516
